# Constructed from biom file
#OTU ID	recip.220.WT.OB1.D7	recip.290.ASO.OB2.D1	recip.389.WT.HC2.D21	recip.391.ASO.PD2.D14	recip.391.ASO.PD2.D21	recip.391.ASO.PD2.D7	recip.400.ASO.HC2.D14	recip.401.ASO.HC2.D7	recip.403.ASO.PD2.D21	recip.411.ASO.HC2.D14	recip.411.ASO.HC2.D21	recip.411.ASO.HC2.D49	recip.412.ASO.HC2.D14	recip.412.ASO.HC2.D7	recip.413.WT.HC2.D7	recip.456.ASO.HC3.D49	recip.458.ASO.HC3.D21	recip.458.ASO.HC3.D49	recip.459.WT.HC3.D14	recip.459.WT.HC3.D21	recip.459.WT.HC3.D49	recip.460.WT.HC3.D14	recip.460.WT.HC3.D21	recip.460.WT.HC3.D7	recip.461.ASO.HC3.D21	recip.461.ASO.HC3.D49	recip.461.ASO.HC3.D7	recip.462.WT.PD3.D14	recip.462.WT.PD3.D21	recip.462.WT.PD3.D49	recip.462.WT.PD3.D7	recip.463.WT.PD3.D14	recip.463.WT.PD3.D21	recip.463.WT.PD3.D7	recip.464.WT.PD3.D14	recip.465.ASO.PD3.D14	recip.465.ASO.PD3.D7	recip.466.ASO.PD3.D7	recip.467.WT.HC3.D49.a	recip.467.WT.HC3.D49.b	recip.536.ASO.PD4.D49	recip.537.WT.PD4.D21	recip.538.WT.PD4.D21	recip.539.ASO.PD4.D14	recip.539.ASO.PD4.D7	recip.540.ASO.HC4.D14	recip.540.ASO.HC4.D7
04c8be5a3a6ba2d70446812e99318905	64.0	116.0	324.0	215.0	326.0	79.0	226.0	150.0	280.0	323.0	376.0	182.0	519.0	191.0	674.0	121.0	47.0	125.0	1070.0	221.0	1085.0	148.0	257.0	233.0	1108.0	584.0	174.0	870.0	940.0	929.0	869.0	598.0	1092.0	414.0	643.0	1058.0	632.0	744.0	179.0	1217.0	1109.0	737.0	819.0	622.0	456.0	1044.0	860.0
ea2b0e4a93c24c6c3661cbe347f93b74	287.0	346.0	551.0	402.0	370.0	315.0	312.0	485.0	370.0	483.0	587.0	411.0	319.0	517.0	344.0	138.0	148.0	453.0	371.0	473.0	357.0	128.0	512.0	443.0	821.0	302.0	333.0	888.0	779.0	271.0	1280.0	526.0	484.0	937.0	792.0	584.0	902.0	333.0	384.0	458.0	354.0	773.0	510.0	963.0	744.0	570.0	785.0
1ad289cd8f44e109fd95de0382c5b252	57.0	351.0	173.0	304.0	235.0	54.0	254.0	85.0	297.0	166.0	141.0	22.0	271.0	83.0	195.0	23.0	293.0	197.0	340.0	495.0	345.0	110.0	904.0	296.0	457.0	383.0	179.0	397.0	376.0	1417.0	102.0	236.0	1535.0	105.0	20.0	1067.0	380.0	1579.0	21.0	455.0	481.0	966.0	792.0	1278.0	284.0	568.0	43.0
3d9838f12f6ff5591dbadeb427a855f1	302.0	718.0	804.0	418.0	736.0	643.0	646.0	375.0	686.0	602.0	547.0	620.0	429.0	643.0	34.0	582.0	922.0	782.0	0.0	687.0	0.0	261.0	0.0	1164.0	0.0	0.0	1232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	578.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ac5402de1ddf427ab8d2b0a8a0a44f19	847.0	501.0	524.0	429.0	464.0	587.0	412.0	321.0	570.0	143.0	801.0	132.0	221.0	90.0	0.0	485.0	788.0	483.0	0.0	612.0	0.0	142.0	0.0	77.0	443.0	155.0	133.0	0.0	305.0	0.0	0.0	710.0	0.0	146.0	223.0	0.0	312.0	0.0	133.0	0.0	443.0	0.0	438.0	0.0	0.0	748.0	446.0
e5a43b018c81cedd19e9a5354d32d469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	140.0	0.0	457.0	0.0	155.0	165.0	0.0	352.0	256.0	389.0	98.0	604.0	558.0	315.0	968.0	613.0	346.0	807.0	0.0	231.0	460.0	510.0	300.0	656.0	885.0	440.0	326.0
c4f9ef34bd2919511069f409c25de6f1	0.0	0.0	356.0	390.0	420.0	196.0	434.0	601.0	0.0	525.0	0.0	390.0	639.0	824.0	1019.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	381.0	0.0	0.0	377.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	327.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74ec9fe6ffab4ecff6d5def74298a825	11.0	27.0	76.0	244.0	100.0	184.0	23.0	100.0	0.0	393.0	31.0	103.0	267.0	264.0	317.0	31.0	35.0	32.0	191.0	44.0	204.0	49.0	40.0	215.0	0.0	77.0	130.0	0.0	38.0	10.0	161.0	18.0	20.0	294.0	246.0	16.0	443.0	0.0	152.0	52.0	117.0	0.0	29.0	0.0	36.0	53.0	320.0
0f4cadbeaa245b98e599c6d662ae9c19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	138.0	0.0	202.0	0.0	318.0	0.0	0.0	326.0	314.0	87.0	523.0	207.0	181.0	353.0	273.0	229.0	357.0	102.0	0.0	45.0	122.0	0.0	230.0	116.0	190.0	196.0	316.0
b47e999a38113e0e4e2b139e8b861fdd	99.0	161.0	259.0	162.0	180.0	77.0	97.0	220.0	64.0	127.0	310.0	406.0	307.0	119.0	96.0	191.0	164.0	155.0	0.0	85.0	0.0	72.0	0.0	173.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a66dd8d31584930c2b0f811f572dddcf	38.0	259.0	198.0	104.0	186.0	155.0	197.0	202.0	131.0	109.0	90.0	108.0	221.0	296.0	151.0	106.0	195.0	71.0	0.0	59.0	0.0	48.0	0.0	250.0	0.0	0.0	361.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3d766867c97f511431bf97e059d6498f	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	81.0	0.0	104.0	0.0	284.0	0.0	44.0	39.0	0.0	260.0	103.0	140.0	159.0	34.0	95.0	63.0	91.0	173.0	20.0	214.0	0.0	241.0	91.0	219.0	44.0	319.0	305.0	58.0	36.0
04195686f2b70585790ec75320de0d6f	25.0	5.0	0.0	0.0	39.0	0.0	13.0	6.0	78.0	43.0	8.0	0.0	4.0	28.0	0.0	0.0	0.0	5.0	27.0	0.0	21.0	17.0	127.0	0.0	22.0	20.0	0.0	72.0	43.0	40.0	235.0	68.0	84.0	290.0	39.0	123.0	212.0	115.0	0.0	137.0	76.0	45.0	56.0	104.0	300.0	244.0	324.0
c5b4c6b372dbc13b6a7f2d466fc7335f	0.0	0.0	89.0	152.0	61.0	44.0	29.0	8.0	0.0	134.0	57.0	0.0	158.0	71.0	53.0	0.0	0.0	0.0	173.0	36.0	173.0	0.0	79.0	28.0	159.0	46.0	14.0	207.0	114.0	0.0	82.0	99.0	57.0	94.0	92.0	41.0	45.0	68.0	0.0	61.0	93.0	64.0	87.0	37.0	72.0	86.0	106.0
d39f37b814ebd81091a949f8bd9d1710	90.0	106.0	88.0	111.0	145.0	115.0	124.0	124.0	77.0	137.0	204.0	108.0	67.0	130.0	82.0	172.0	326.0	148.0	0.0	178.0	0.0	81.0	0.0	149.0	0.0	0.0	181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25def15fb42bed6855ede4893d27a21d	0.0	621.0	0.0	0.0	0.0	0.0	0.0	0.0	708.0	0.0	0.0	606.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1004.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d5c52d867f4b3d86735eb8d8b3ff85f9	0.0	70.0	244.0	166.0	238.0	190.0	153.0	152.0	196.0	60.0	306.0	52.0	117.0	0.0	0.0	64.0	281.0	0.0	0.0	183.0	0.0	64.0	0.0	27.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
599ba6458e91e2527f358f547ea39261	17.0	4.0	16.0	115.0	143.0	235.0	101.0	330.0	0.0	460.0	60.0	19.0	102.0	76.0	228.0	90.0	50.0	22.0	0.0	22.0	0.0	33.0	0.0	104.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c162a4f3943238810eba8a25f0563cca	0.0	261.0	29.0	0.0	0.0	131.0	0.0	42.0	149.0	116.0	0.0	93.0	0.0	135.0	105.0	340.0	154.0	109.0	0.0	116.0	0.0	94.0	0.0	131.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e6a34eb113dba66df0b8bbec907a8f5d	13.0	30.0	53.0	42.0	27.0	15.0	45.0	18.0	54.0	35.0	65.0	48.0	38.0	0.0	0.0	57.0	37.0	43.0	0.0	47.0	0.0	25.0	0.0	32.0	103.0	67.0	0.0	0.0	113.0	0.0	0.0	118.0	0.0	80.0	147.0	0.0	0.0	0.0	68.0	81.0	65.0	87.0	49.0	76.0	35.0	69.0	0.0
ad689a29574a09c604cd36cf41732e13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	116.0	0.0	89.0	0.0	120.0	0.0	0.0	198.0	113.0	45.0	65.0	79.0	0.0	52.0	79.0	43.0	47.0	65.0	0.0	61.0	88.0	54.0	70.0	48.0	60.0	113.0	90.0
3128e057b1d4f320961e4da677724613	20.0	27.0	73.0	22.0	59.0	13.0	13.0	47.0	13.0	40.0	72.0	42.0	24.0	26.0	25.0	17.0	28.0	20.0	58.0	50.0	49.0	9.0	11.0	25.0	14.0	26.0	46.0	25.0	52.0	72.0	13.0	33.0	33.0	76.0	40.0	30.0	103.0	29.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
